Probe	Symbol	acg	dlpfc	cb	amy	hc	nacc	new-mean-6	Symbol									
1198_at	CLK3	13	8	2	12	2	10	0.02652465										
200424_at	TET3	17	2	-6	14	-4	13	0.026611094										
55966_at	AJAP1	13	-3	8	10	-3	-1	0.026669867										
8322_at	FZD4	1	5	8	4	3	8	0.027291412										
58517_at	RBM25	8	11	9	14	10	12	0.027336039										
10205_at	MPZL2	0	1	4	1	2	2	0.027704896										
9053_at	MAP7	10	-6	-4	-4	-6	12	0.027847661										
8208_at	CHAF1B	4	12	1	9	4	-5	0.028253954										
53944_at	CSNK1G1	-6	-3	3	14	-3	-5	0.028328334										
80124_at	VCPIP1	10	-4	0	14	9	-1	0.028640808										
51135_at	IRAK4	4	0	-2	-1	-2	-6	0.028742954										
79415_at	C17orf62	5	5	1	2	8	3	0.028889414										
7862_at	BRPF1	8	12	9	8	0	8	0.028911336										
51214_at	IGF2AS	13	6	0	-6	0	9	0.029147105										
4436_at	MSH2	4	8	2	-1	9	3	0.029203553										
2357_at	FPR1	-2	0	2	1	-2	2	0.029255373										
6356_at	CCL11	-6	6	13	15	0	5	0.029279542										
9863_at	MAGI2	14	17	-4	15	14	14	0.029291755										
22828_at	RBM16	6	14	7	7	12	9	0.029375437										
5725_at	PTBP1	2	0	0	3	1	2	0.029519128										
871_at	SERPINH1	-3	-2	-5	1	-2	-3	0.029564458										
9702_at	CEP57	6	1	0	-2	8	1	0.029640115										
81849_at	ST6GALNAC5	16	14	8	12	-6	16	0.029644433										
863_at	CBFA2T3	14	10	2	11	8	0	0.029834714										
10586_at	MAB21L2	8	0	6	-4	1	7	0.030018806										
10845_at	CLPX	4	0	0	3	7	0	0.030038525										
22918_at	CD93	1	0	-2	1	1	3	0.030185798										
10206_at	TRIM13	2	-4	-1	-2	-3	6	0.030367554										
55297_at	CCDC91	6	13	10	-2	10	11	0.030424153										
11019_at	LIAS	2	-2	-2	-3	14	13	0.030533621										
56986_at	DTWD1	-4	17	11	-3	7	-3	0.030692753										
6698_at	SPRR1A	9	3	0	-2	1	9	0.030747224										
9580_at	SOX13	17	15	16	7	-4	14	0.030768154										
4889_at	NPY5R	-4	-3	8	6	13	4	0.030861322										
3911_at	LAMA5	9	8	-2	6	4	-4	0.030869168										
23214_at	XPO6	12	12	9	8	-2	15	0.030955647										
151050_at	C2orf67	0	-3	15	17	15	17	0.030956193										
4215_at	MAP3K3	-1	11	13	-2	-3	-2	0.031235109										
3134_at	HLA-F	-1	-6	-5	12	-3	-1	0.031281144										
6809_at	STX3	-4	11	16	10	3	15	0.031299126										
2290_at	FOXG1	-6	-5	13	11	-6	14	0.031378696										
55079_at	FEZF2	-5	12	15	11	16	16	0.03144607										
1912_at	PHC2	3	0	-1	2	0	1	0.031524082										
9099_at	USP2	4	1	1	3	5	4	0.03169363										
10268_at	RAMP3	2	0	13	3	2	-5	0.031809512										
834_at	CASP1	-2	0	-1	7	6	1	0.031858053										
3176_at	HNMT	14	15	17	14	14	15	0.031955043										
6518_at	SLC2A5	2	2	3	3	1	3	0.031999969										
56105_at	PCDHGA11	10	-2	-2	14	6	9	0.032077117										
3566_at	IL4R	-1	0	-2	5	-2	4	0.032212523										
2568_at	GABRP	-3	3	7	-4	5	8	0.032267905										
3642_at	INSM1	0	1	4	-4	-4	16	0.032464975										
10263_at	CDK2AP2	-6	13	15	-3	-5	16	0.032507505										
26502_at	NARF	7	3	0	2	1	3	0.032549618										
7071_at	KLF10	0	3	10	7	2	0	0.032795823										
23253_at	ANKRD12	5	3	0	6	7	4	0.032799389										
6656_at	SOX1	7	12	-4	-1	7	-2	0.032808502										
7376_at	NR1H2	16	11	11	1	5	-3	0.033018958										
51168_at	MYO15A	4	2	5	16	13	5	0.033406852										
2488_at	FSHB	-4	9	-4	-5	8	-5	0.033414892										
23192_at	ATG4B	10	7	2	6	2	8	0.033425632										
26271_at	FBXO5	2	-1	-4	7	7	3	0.033435331										
11119_at	BTN3A1	13	-6	13	0	15	16	0.033513361										
171023_at	ASXL1	4	3	-1	6	-1	-1	0.033698978										
4616_at	GADD45B	0	2	-5	0	-1	0	0.033708012										
5717_at	PSMD11	4	-3	-1	1	-1	9	0.033765535										
3569_at	IL6	2	-4	-3	1	-2	2	0.033783468										
9201_at	DCLK1	15	8	10	4	17	15	0.033946708										
10598_at	AHSA1	-6	-4	14	-2	-5	-4	0.034116584										
51324_at	SPG21	2	3	7	-1	6	5	0.034159618										
3356_at	HTR2A	6	7	7	7	7	-2	0.034180357										
3705_at	ITPK1	-4	4	-6	8	-2	15	0.034186464										
3097_at	HIVEP2	6	16	7	7	-5	13	0.034258852										
8858_at	PROZ	5	2	12	10	4	0	0.034347213										
308_at	ANXA5	0	-3	-4	-2	-2	-1	0.03451564										
10024_at	TROAP	17	3	-5	-2	1	10	0.034528195										
8999_at	CDKL2	15	7	-5	14	9	5	0.0346732										
9975_at	NR1D2	3	4	0	4	5	4	0.03481763										
150094_at	SIK1	0	5	0	0	1	0	0.034959165										
283232_at	TMEM80	16	14	-5	-4	12	13	0.035113944										
7544_at	ZFY	-2	-2	2	4	3	17	0.035118333										
51102_at	MECR	16	-5	16	14	9	10	0.035146984										
1852_at	DUSP9	5	6	-5	8	-1	-1	0.035291855										
55195_at	C14orf105	8	7	6	9	4	13	0.035364458										
7538_at	ZFP36	-1	3	-4	1	0	0	0.035495914										
51585_at	PCF11	6	2	5	1	10	-2	0.035539143										
10009_at	ZBTB33	0	-2	-5	1	8	3	0.035883405										
7157_at	TP53	3	-6	-2	0	4	3	0.035961285										
4283_at	CXCL9	15	10	8	16	6	9	0.035966014										
63974_at	NEUROD6	15	12	13	11	-4	16	0.036065563										
3587_at	IL10RA	-5	6	3	6	-2	2	0.036150371										
1235_at	CCR6	5	1	-2	-1	-4	4	0.036300389										
8727_at	CTNNAL1	9	10	7	5	8	3	0.03639202										
80022_at	MYO15B	15	17	11	16	11	15	0.036486085										
63970_at	TP53AIP1	8	3	6	7	9	9	0.036490545										
55893_at	ZNF395	3	4	1	3	1	0	0.036540767										
5900_at	RALGDS	5	2	-1	2	1	2	0.03672355										
5432_at	POLR2C	-6	6	-1	15	15	-5	0.036921541										
8241_at	RBM10	15	-6	9	7	-4	16	0.036926225										
4923_at	NTSR1	8	8	2	13	13	16	0.037081887										
6664_at	SOX11	5	2	2	0	9	6	0.037345621										
1602_at	DACH1	4	0	12	1	8	5	0.037395755										
6833_at	ABCC8	9	9	12	9	12	10	0.037533571										
4725_at	NDUFS5	-6	16	16	17	14	17	0.037786063										
9510_at	ADAMTS1	1	1	-3	0	0	0	0.037831416										
23039_at	XPO7	17	-6	1	14	-4	12	0.037837947										
2030_at	SLC29A1	1	-2	-1	-5	0	6	0.037882661										
2632_at	GBE1	5	-4	6	1	4	8	0.037932258										
8287_at	USP9Y	4	2	4	4	6	5	0.038161756										
23645_at	PPP1R15A	-1	1	-5	16	-1	-2	0.03818815										
23168_at	RTF1	5	-6	-1	9	8	6	0.03825327										
9470_at	EIF4E2	4	-4	-6	11	11	10	0.038396806										
6419_at	SETMAR	16	-5	9	-6	15	-5	0.038536863										
9885_at	OSBPL2	3	4	1	3	12	6	0.038684266										
51054_at	PLEKHA9	-4	10	13	0	10	9	0.038700758										
51208_at	CLDN18	1	10	12	1	-3	12	0.038752789										
64860_at	ARMCX5	5	5	2	1	7	7	0.038865247										
22856_at	CHSY1	1	-4	0	2	2	1	0.03889631										
91746_at	YTHDC1	12	14	7	1	14	11	0.038944075										
376267_at	RAB15	17	15	-6	10	-6	17	0.039121834										
55647_at	RAB20	-2	1	7	2	0	0	0.039124919										
9489_at	PGS1	15	-6	13	8	-3	15	0.03914727										
5471_at	PPAT	1	2	8	7	8	1	0.039147449										
9391_at	CIAO1	0	12	2	0	8	9	0.039172912										
10723_at	SLC12A7	4	5	0	2	5	5	0.03919126										
9732_at	DOCK4	17	16	2	11	-6	15	0.039311104										
10939_at	AFG3L2	6	8	1	5	3	2	0.039360717										
23211_at	ZC3H4	15	15	15	10	12	15	0.039561271										
1052_at	CEBPD	-1	0	-4	1	-1	-1	0.039628882										
50487_at	PLA2G3	-5	5	12	-3	3	7	0.039675537										
9055_at	PRC1	4	7	3	2	1	7	0.03983774										
10885_at	WDR3	2	9	8	2	9	2	0.039839269										
26289_at	AK5	8	8	10	10	-5	2	0.040004601										
23256_at	SCFD1	8	13	14	9	8	-5	0.040037597										
9402_at	GRAP2	11	14	11	9	0	-2	0.040131112										
81034_at	SLC25A32	4	-6	9	-1	6	0	0.040319117										
9997_at	SCO2	0	-3	7	17	1	14	0.04032649										
81616_at	ACSBG2	-5	-2	7	-6	-5	3	0.040448989										
9886_at	RHOBTB1	17	15	12	9	11	12	0.040545183										
6882_at	TAF11	6	15	15	4	5	11	0.040556579										
11016_at	ATF7	12	16	1	6	8	0	0.040743389										
167_at	CRISP1	17	-4	9	0	0	9	0.040774088										
81562_at	LMAN2L	15	-5	3	-2	15	-4	0.040942416										
7841_at	MOGS	-4	2	1	5	7	11	0.041021867										
238_at	ALK	-6	9	-3	-1	-2	-5	0.041033052										
54551_at	MAGEL2	13	7	7	-3	-4	16	0.041073739										
7802_at	DNALI1	-2	5	-4	-5	0	-4	0.041417954										
8165_at	AKAP1	6	6	-2	8	8	5	0.041455562										
50833_at	TAS2R16	-5	-1	8	11	4	10	0.041587335										
5777_at	PTPN6	3	8	-3	9	1	4	0.041643617										
387032_at	ZKSCAN4	8	-2	3	-3	13	-1	0.041693794										
2965_at	GTF2H1	0	-1	3	9	3	0	0.042189483										
2880_at	GPX5	12	4	10	11	-2	12	0.042413129										
3732_at	CD82	13	-1	15	-2	-5	14	0.042754184										
4045_at	LSAMP	15	16	10	11	12	2	0.042790719										
54676_at	GTPBP2	6	0	4	4	-1	6	0.042791005										
29087_at	THYN1	17	9	6	16	-6	14	0.042800458										
57211_at	GPR126	4	8	11	6	8	8	0.042839469										
55140_at	ELP3	1	4	2	-3	5	5	0.042885647										
23538_at	OR52A1	16	0	14	-5	9	-3	0.042901783										
1834_at	DSPP	9	12	0	16	9	14	0.042957146										
11226_at	GALNT6	7	-3	8	-2	-5	-2	0.043037094										
11044_at	PAPD7	5	6	1	5	3	9	0.043069421										
3067_at	HDC	10	3	-3	-4	-3	8	0.043114265										
1604_at	CD55	2	-1	-3	-1	-2	0	0.043127787										
9852_at	EPM2AIP1	4	8	8	-2	10	11	0.043358036										
7132_at	TNFRSF1A	0	7	0	6	2	2	0.043544477										
23135_at	KDM6B	-2	4	-3	5	-1	-2	0.043612836										
51643_at	TMBIM4	13	16	17	-5	12	13	0.043631916										
11197_at	WIF1	17	17	14	15	16	17	0.043708579										
79657_at	RPAP3	4	-6	1	-1	3	-1	0.043727348										
5919_at	RARRES2	13	12	11	-5	-2	-5	0.043757073										
93973_at	ACTR8	6	-1	4	-6	7	6	0.043802714										
79726_at	WDR59	15	-4	1	0	-4	12	0.043843987										
54504_at	CPVL	12	5	1	-4	3	2	0.043914042										
79812_at	MMRN2	0	3	-3	-1	2	-2	0.04412351										
11320_at	MGAT4A	0	-2	-4	-1	8	4	0.044183682										
57030_at	SLC17A7	16	2	-6	11	-3	-6	0.044243772										
6628_at	SNRPB	3	-1	10	7	3	1	0.044279061										
25900_at	IFFO1	4	5	-2	2	4	-1	0.044325939										
961_at	CD47	17	-4	-4	-4	-6	-4	0.044334377										
8030_at	CCDC6	12	14	9	12	12	8	0.044382184										
1649_at	DDIT3	-4	2	3	-4	-1	-1	0.044542819										
3191_at	HNRNPL	17	6	14	-3	12	-3	0.044670757										
776_at	CACNA1D	14	14	12	8	9	-6	0.044684779										
55193_at	PBRM1	8	-6	7	-1	10	15	0.044691079										
26249_at	KLHL3	14	15	-4	10	17	15	0.044760271										
11022_at	TDRKH	2	4	8	6	-4	1	0.044764391										
311_at	ANXA11	10	7	14	10	9	6	0.044946619										
3902_at	LAG3	3	0	-1	13	-1	9	0.045042811										
8031_at	NCOA4	5	11	5	15	8	8	0.04506269										
2956_at	MSH6	4	-1	3	0	5	4	0.04518278										
7225_at	TRPC6	17	-1	7	14	-1	4	0.045286994										
6566_at	SLC16A1	-3	-4	-2	-6	-3	1	0.045344928										
80128_at	TRIM46	10	0	-3	11	-2	13	0.045357195										
7089_at	TLE2	-2	6	1	-1	3	12	0.045393223										
79363_at	C1orf89	12	11	12	14	-6	16	0.045471061										
1662_at	DDX10	0	8	8	10	-3	10	0.045490723										
8326_at	FZD9	14	3	2	0	-1	-2	0.045532533										
79762_at	C1orf115	8	9	7	10	11	17	0.045576153										
4048_at	LTA4H	17	16	1	15	12	-3	0.045700824										
3188_at	HNRNPH2	4	11	8	9	10	-3	0.04585803										
9413_at	FAM189A2	3	3	6	0	2	2	0.045910149										
51143_at	DYNC1LI1	4	12	7	-1	4	-2	0.045958637										
2495_at	FTH1	10	11	14	13	12	10	0.046009535										
80789_at	INTS5	-2	-2	5	6	15	7	0.046021276										
3257_at	HPS1	2	6	5	-2	6	-3	0.046151741										
10656_at	KHDRBS3	17	15	12	9	-4	15	0.046196096										
5176_at	SERPINF1	-2	-3	-1	8	-3	-4	0.046210098										
60468_at	BACH2	2	17	10	1	15	14	0.046305906										
7453_at	WARS	1	0	10	1	1	-1	0.046413604										
6534_at	SLC6A7	17	10	10	6	-4	14	0.046415304										
8795_at	TNFRSF10B	-3	-1	8	-2	1	-1	0.046434377										
51593_at	SRRT	14	10	15	12	13	14	0.046593671										
56252_at	YLPM1	10	16	10	3	-6	12	0.046622919										
64376_at	IKZF5	13	0	4	-5	-2	2	0.046643706										
79962_at	DNAJC22	-4	-2	11	17	-1	7	0.046680484										
79148_at	MMP28	14	8	11	12	13	11	0.047023178										
5606_at	MAP2K3	-1	6	15	2	2	3	0.047067861										
6549_at	SLC9A2	12	6	7	0	2	16	0.047176896										
1434_at	CSE1L	3	6	5	1	-5	1	0.047356838										
7444_at	VRK2	9	-5	10	-2	14	13	0.047425047										
56288_at	PARD3	15	15	-5	13	12	0	0.047482945										
3363_at	HTR7	2	2	2	8	0	11	0.047491616										
27090_at	ST6GALNAC4	10	5	-2	-4	5	2	0.047539525										
50809_at	HP1BP3	16	-2	-3	-6	17	3	0.047604107										
60436_at	TGIF2	1	4	-2	9	16	-1	0.04764233										
79944_at	L2HGDH	3	-2	-2	6	1	3	0.047911383										
201254_at	STRA13	-4	0	-1	-1	3	-2	0.047913626										
2852_at	GPER	6	9	-4	2	6	9	0.047987298										
64866_at	CDCP1	10	12	0	0	-3	-3	0.048007258										
7503_at	XIST	-6	-6	15	17	14	-6	0.048199238										
6916_at	TBXAS1	-6	8	7	12	4	5	0.048757142										
6752_at	SSTR2	17	2	12	8	-6	-4	0.048772578										
63926_at	ANKRD5	-3	5	14	0	5	7	0.048783015										
8554_at	PIAS1	1	5	-5	12	7	-1	0.048803079										
54981_at	C9orf95	0	3	-1	0	0	0	0.048831397										
1380_at	CR2	-4	1	4	-1	-3	8	0.048839546										
59335_at	PRDM12	-4	11	-6	-5	6	-3	0.048851783										
8460_at	TPST1	3	3	5	1	-1	-1	0.048864033										
2560_at	GABRB1	-5	14	14	14	15	17	0.04890652										
51385_at	ZNF589	-6	-2	10	-2	4	3	0.04898688										
1659_at	DHX8	-4	15	1	6	4	6	0.04918654										
27236_at	ARFIP1	6	-6	6	16	9	2	0.049317134										
80781_at	COL18A1	5	9	5	0	2	11	0.049331092										
8284_at	KDM5D	6	6	4	7	7	9	0.04935962										
10868_at	USP20	6	8	3	4	6	10	0.049750725										
200081_at	TXLNA	3	14	9	0	2	-4	0.049971002										
643_at	CXCR5	15	9	-1	10	-4	10	0.050019398										
6241_at	RRM2	-5	5	16	14	11	5	0.050100527										
7036_at	TFR2	10	8	-4	13	11	13	0.050448499										
23404_at	EXOSC2	5	7	3	11	10	8	0.05065049										
26053_at	AUTS2	-6	14	-6	15	15	-5	0.05074237										
6483_at	ST3GAL2	12	16	13	5	12	8	0.050799455										
81571_at	C9orf45	-5	2	12	6	-1	17	0.050900157										
5268_at	SERPINB5	0	17	0	16	0	1	0.050932692										
10153_at	CEBPZ	9	11	10	3	13	0	0.050960227										
11248_at	NXPH3	16	11	8	6	8	14	0.05096623										
7175_at	TPR	10	10	1	-2	13	8	0.051074857										
28974_at	C19orf53	15	16	11	16	8	17	0.051164184										
79071_at	ELOVL6	10	13	-5	-2	7	13	0.051171819										
117178_at	SSX2IP	6	10	9	9	12	6	0.051185543										
6192_at	RPS4Y1	6	7	5	10	6	9	0.051195716										
5540_at	PPYR1	7	12	-1	10	6	15	0.051198125										
79853_at	TM4SF20	-5	9	15	6	1	10	0.051221875										
7767_at	ZNF224	12	0	-4	2	8	14	0.051250974										
80222_at	TARS2	3	3	16	7	3	-5	0.051347473										
9232_at	PTTG1	17	-6	-6	-1	-5	16	0.051397955										
64850_at	AGXT2L1	15	14	8	15	15	13	0.051452539										
65003_at	MRPL11	-5	3	11	13	16	1	0.051540547										
5265_at	SERPINA1	0	4	1	1	3	5	0.051655751										
251_at	ALPPL2	8	9	-2	-5	-4	4	0.051805085										
5100_at	PCDH8	13	12	8	15	-5	-1	0.051812075										
115817_at	DHRS1	13	6	9	16	8	3	0.051844775										
23149_at	FCHO1	5	1	-3	5	1	17	0.052048465										
27165_at	GLS2	0	1	0	-1	-1	3	0.052175074										
80195_at	C10orf57	-1	-3	12	-5	2	9	0.052265675										
2326_at	FMO1	-3	4	9	0	9	2	0.052280852										
10221_at	TRIB1	-3	12	7	16	-6	17	0.052411461										
54870_at	QRICH1	3	2	0	6	2	4	0.052412206										
898_at	CCNE1	6	4	1	3	7	12	0.052459474										
3661_at	IRF3	4	-3	12	6	2	2	0.052481116										
55157_at	DARS2	17	9	9	12	8	3	0.052512546										
5794_at	PTPRH	6	-3	1	-2	-3	8	0.052547617										
113835_at	ZNF257	-3	3	6	-6	9	4	0.052572928										
5272_at	SERPINB9	0	1	0	-1	0	1	0.052619875										
1192_at	CLIC1	-1	5	-3	0	1	1	0.052749786										
9028_at	RHBDL1	5	8	-2	3	2	15	0.052861125										
8161_at	COIL	5	17	3	9	10	0	0.052889255										
8711_at	TNK1	-6	2	-2	11	-1	-4	0.05307636										
7634_at	ZNF80	3	8	8	2	6	1	0.053104627										
1010_at	CDH12	2	-2	16	6	0	-5	0.053143092										
2012_at	EMP1	0	3	-2	1	0	0	0.053182706										
857_at	CAV1	11	14	12	13	11	-5	0.053384648										
2039_at	EPB49	15	9	17	11	1	-3	0.053391171										
1132_at	CHRM4	8	-1	5	7	15	0	0.053493267										
6822_at	SULT2A1	1	3	7	6	13	6	0.053515374										
55325_at	UFSP2	8	13	9	10	9	9	0.053517762										
23070_at	FTSJD2	8	7	0	7	6	12	0.053548874										
23660_at	ZKSCAN5	1	9	-1	10	3	-2	0.053618729										
80028_at	FBXL18	17	13	9	12	-4	-5	0.053654565										
9695_at	EDEM1	-2	7	5	8	4	4	0.053698742										
9289_at	GPR56	4	6	0	5	-1	1	0.05375043										
7035_at	TFPI	2	3	6	4	5	7	0.053796519										
285_at	ANGPT2	-1	-1	-3	0	0	-1	0.053834298										
9209_at	LRRFIP2	6	-6	14	-3	15	14	0.053895874										
51233_at	C22orf43	4	16	4	14	1	1	0.053942537										
9786_at	KIAA0586	13	9	0	15	13	8	0.054007346										
27239_at	GPR162	-6	-2	-6	7	1	14	0.054203717										
6522_at	SLC4A2	10	-2	0	3	-3	-3	0.054209223										
7188_at	TRAF5	3	4	11	3	3	17	0.054219112										
79009_at	DDX50	4	4	1	-3	-5	7	0.054270412										
25825_at	BACE2	0	2	8	7	0	13	0.054286231										
11251_at	GPR44	6	8	14	10	9	10	0.054389218										
3839_at	KPNA3	6	7	4	10	8	5	0.054603057										
1736_at	DKC1	4	10	5	3	-1	3	0.054641239										
340591_at	CA5BP	-6	4	7	-6	5	-6	0.054654434										
1326_at	MAP3K8	0	-1	-1	3	0	3	0.054684127										
7332_at	UBE2L3	-4	-2	0	-6	-1	-3	0.054752099										
10879_at	SMR3B	-6	5	9	-1	4	0	0.054855206										
23082_at	PPRC1	4	8	11	-1	0	2	0.054913504										
58525_at	WIZ	17	5	17	13	5	2	0.054941101										
3570_at	IL6R	5	5	-5	2	10	3	0.054949317										
124044_at	SPATA2L	11	10	10	10	8	15	0.055235372										
